period,market_id,temperature_c,temperature_min_c,temperature_max_c,observation_days,interest_index,below_one_share,source_resolution,label,country_iso2,country_iso3,scope,trends_geo,weather_source,latitude,longitude,timezone,hemisphere,climate_profile,analysis_role,year,month,month_name,interest_zscore,interest_scaled,temperature_climatology_c,interest_climatology,temperature_anomaly_c,interest_anomaly
2024-05-01,moscow,11.667741935483871,6.116129032258065,15.996774193548386,31,60.61290322580645,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,5,May,0.9770242966145646,0.6114312961273737,11.931612903225806,61.038709677419355,-0.2638709677419353,-0.42580645161290676
2024-06-01,moscow,19.753333333333337,15.03,23.91,30,70.06666666666666,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,6,Jun,1.6224570601353252,0.7937017994858612,18.208000000000006,74.26666666666667,1.545333333333332,-4.200000000000003
2024-07-01,moscow,21.98064516129032,17.093548387096774,26.24516129032258,31,72.74193548387096,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,7,Jul,1.8051045482654038,0.8452815324653784,20.901290322580643,70.38064516129032,1.0793548387096763,2.3612903225806434
2024-08-01,moscow,18.88064516129032,14.27741935483871,23.27741935483871,31,53.83870967741935,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,8,Aug,0.5145326667031915,0.48082345136412635,19.31225806451613,49.70967741935483,-0.43161290322580825,4.12903225806452
2024-09-01,moscow,17.296666666666667,12.286666666666669,22.226666666666667,30,39.8,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,9,Sep,-0.4439261777607589,0.21015424164524418,13.171333333333333,38.22,4.125333333333334,1.5799999999999983
2024-10-01,moscow,7.490322580645161,4.683870967741935,10.612903225806452,31,32.70967741935484,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,10,Oct,-0.9280007504013291,0.07345136412637869,6.501935483870968,34.30322580645161,0.9883870967741935,-1.5935483870967673
2024-11-01,moscow,0.8133333333333332,-1.2333333333333334,2.8266666666666667,30,34.666666666666664,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,11,Nov,-0.7943920573158216,0.11118251928020563,0.8526666666666667,34.96,-0.03933333333333344,-0.29333333333333655
2024-12-01,moscow,-3.2,-5.393548387096774,-1.3806451612903226,31,32.29032258064516,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,12,Dec,-0.9566311846339381,0.06536611659341571,-4.844516129032258,33.490322580645156,1.644516129032258,-1.1999999999999957
2025-01-01,moscow,-1.0741935483870966,-3.125806451612903,0.7419354838709677,31,37.12903225806452,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2025,1,Jan,-0.6262800204115284,0.15865743428144963,-6.683870967741936,37.03225806451613,5.609677419354839,0.09677419354839145
2025-02-01,moscow,-5.110714285714286,-7.703571428571428,-2.167857142857143,28,37.82142857142857,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2025,2,Feb,-0.5790083419120841,0.17200697759823722,-6.481133004926109,36.90886699507389,1.3704187192118233,0.9125615763546762
2025-03-01,moscow,3.083870967741935,-1.0,7.138709677419354,31,36.70967741935484,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2025,3,Mar,-0.6549104546441374,0.15057218674848666,-1.3748387096774195,38.49677419354839,4.458709677419355,-1.7870967741935502
2025-04-01,moscow,7.136666666666667,2.5933333333333333,11.61,30,48.5,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2025,4,Apr,0.15004521551113337,0.37789203084832906,6.943333333333333,46.82,0.19333333333333336,1.6799999999999997
2025-05-01,moscow,12.609677419354838,7.448387096774193,17.161290322580644,31,60.483870967741936,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2025,5,May,0.9682149322353006,0.6089435276556929,11.931612903225806,61.038709677419355,0.678064516129032,-0.5548387096774192
2025-06-01,moscow,16.603333333333335,12.5,20.31,30,80.76666666666667,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2025,6,Jun,2.3529736012858136,1.0,18.208000000000006,74.26666666666667,-1.6046666666666702,6.5
2025-07-01,moscow,21.270967741935483,16.700000000000003,25.496774193548383,31,74.2258064516129,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2025,7,Jul,1.9064122386269426,0.8738908698897089,20.901290322580643,70.38064516129032,0.36967741935484,3.8451612903225794
2025-08-01,moscow,16.925806451612903,13.387096774193548,20.55806451612903,31,58.54838709677419,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2025,8,Aug,0.8360744665463368,0.5716270005804793,19.31225806451613,49.70967741935483,-2.386451612903226,8.83870967741936
2025-09-01,moscow,13.513333333333332,9.826666666666666,17.186666666666667,30,45.13333333333333,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2025,9,Sep,-0.0798057834178364,0.3129820051413882,13.171333333333333,38.22,0.34199999999999875,6.913333333333334
